prime_genre,user_rating,proportion
Book,0.0,0.0
Book,1.0,0.0
Book,1.5,0.0
Book,2.0,0.0
Book,2.5,0.31
Book,3.0,0.04
Book,3.5,43.96
Book,4.0,11.81
Book,4.5,28.52
Book,5.0,15.37
Business,0.0,0.0
Business,1.0,0.0
Business,1.5,0.0
Business,2.0,0.02
Business,2.5,0.95
Business,3.0,2.41
Business,3.5,0.71
Business,4.0,31.12
Business,4.5,51.99
Business,5.0,12.78
Catalogs,0.0,0.0
Catalogs,1.0,0.0
Catalogs,1.5,0.0
Catalogs,2.0,0.0
Catalogs,2.5,0.0
Catalogs,3.0,0.0
Catalogs,3.5,1.23
Catalogs,4.0,14.19
Catalogs,4.5,7.56
Catalogs,5.0,77.03
Education,0.0,0.0
Education,1.0,0.0
Education,1.5,0.05
Education,2.0,1.35
Education,2.5,0.71
Education,3.0,13.07
Education,3.5,4.01
Education,4.0,10.16
Education,4.5,61.02
Education,5.0,9.62
Entertainment,0.0,0.0
Entertainment,1.0,0.01
Entertainment,1.5,0.01
Entertainment,2.0,2.0
Entertainment,2.5,2.45
Entertainment,3.0,16.97
Entertainment,3.5,19.01
Entertainment,4.0,25.52
Entertainment,4.5,33.19
Entertainment,5.0,0.83
Finance,0.0,0.0
Finance,1.0,0.0
Finance,1.5,0.06
Finance,2.0,0.09
Finance,2.5,0.28
Finance,3.0,3.94
Finance,3.5,17.64
Finance,4.0,33.56
Finance,4.5,35.58
Finance,5.0,8.85
Food & Drink,0.0,0.0
Food & Drink,1.0,0.0
Food & Drink,1.5,0.0
Food & Drink,2.0,0.47
Food & Drink,2.5,0.17
Food & Drink,3.0,0.26
Food & Drink,3.5,14.3
Food & Drink,4.0,3.34
Food & Drink,4.5,51.53
Food & Drink,5.0,29.93
Games,0.0,0.0
Games,1.0,0.0
Games,1.5,0.0
Games,2.0,0.36
Games,2.5,0.19
Games,3.0,1.6
Games,3.5,2.98
Games,4.0,8.07
Games,4.5,78.21
Games,5.0,8.6
Health & Fitness,0.0,0.0
Health & Fitness,1.0,0.0
Health & Fitness,1.5,0.0
Health & Fitness,2.0,0.04
Health & Fitness,2.5,0.03
Health & Fitness,3.0,0.51
Health & Fitness,3.5,11.1
Health & Fitness,4.0,31.76
Health & Fitness,4.5,50.33
Health & Fitness,5.0,6.24
Lifestyle,0.0,0.0
Lifestyle,1.0,0.01
Lifestyle,1.5,0.37
Lifestyle,2.0,0.15
Lifestyle,2.5,0.8
Lifestyle,3.0,0.68
Lifestyle,3.5,17.6
Lifestyle,4.0,24.72
Lifestyle,4.5,53.24
Lifestyle,5.0,2.44
Medical,0.0,0.0
Medical,1.0,0.04
Medical,1.5,3.14
Medical,2.0,0.0
Medical,2.5,0.0
Medical,3.0,0.0
Medical,3.5,1.42
Medical,4.0,0.21
Medical,4.5,86.36
Medical,5.0,8.83
Music,0.0,0.0
Music,1.0,0.0
Music,1.5,0.0
Music,2.0,0.08
Music,2.5,0.02
Music,3.0,0.16
Music,3.5,1.4
Music,4.0,53.79
Music,4.5,44.52
Music,5.0,0.04
Navigation,0.0,0.0
Navigation,1.0,0.0
Navigation,1.5,0.0
Navigation,2.0,0.0
Navigation,2.5,0.0
Navigation,3.0,0.02
Navigation,3.5,5.49
Navigation,4.0,1.38
Navigation,4.5,93.12
Navigation,5.0,0.0
News,0.0,0.0
News,1.0,0.0
News,1.5,0.0
News,2.0,0.02
News,2.5,1.24
News,3.0,8.26
News,3.5,59.46
News,4.0,20.01
News,4.5,10.16
News,5.0,0.84
Photo & Video,0.0,0.0
Photo & Video,1.0,0.0
Photo & Video,1.5,0.02
Photo & Video,2.0,0.0
Photo & Video,2.5,12.9
Photo & Video,3.0,1.07
Photo & Video,3.5,2.54
Photo & Video,4.0,4.23
Photo & Video,4.5,71.59
Photo & Video,5.0,7.65
Productivity,0.0,0.0
Productivity,1.0,0.0
Productivity,1.5,0.03
Productivity,2.0,0.06
Productivity,2.5,0.01
Productivity,3.0,0.03
Productivity,3.5,14.72
Productivity,4.0,40.06
Productivity,4.5,42.48
Productivity,5.0,2.61
Reference,0.0,0.0
Reference,1.0,0.0
Reference,1.5,0.01
Reference,2.0,0.0
Reference,2.5,0.0
Reference,3.0,0.0
Reference,3.5,2.03
Reference,4.0,15.94
Reference,4.5,79.54
Reference,5.0,2.48
Shopping,0.0,0.0
Shopping,1.0,0.0
Shopping,1.5,0.0
Shopping,2.0,0.0
Shopping,2.5,2.42
Shopping,3.0,8.73
Shopping,3.5,12.13
Shopping,4.0,19.84
Shopping,4.5,48.91
Shopping,5.0,7.96
Social Networking,0.0,0.0
Social Networking,1.0,0.0
Social Networking,1.5,0.01
Social Networking,2.0,0.04
Social Networking,2.5,0.48
Social Networking,3.0,5.65
Social Networking,3.5,49.27
Social Networking,4.0,12.9
Social Networking,4.5,30.46
Social Networking,5.0,1.19
Sports,0.0,0.0
Sports,1.0,0.0
Sports,1.5,0.03
Sports,2.0,0.27
Sports,2.5,5.11
Sports,3.0,9.74
Sports,3.5,37.34
Sports,4.0,33.94
Sports,4.5,13.33
Sports,5.0,0.25
Travel,0.0,0.0
Travel,1.0,0.0
Travel,1.5,0.0
Travel,2.0,0.16
Travel,2.5,0.54
Travel,3.0,7.73
Travel,3.5,40.03
Travel,4.0,27.47
Travel,4.5,24.03
Travel,5.0,0.04
Utilities,0.0,0.0
Utilities,1.0,0.02
Utilities,1.5,0.12
Utilities,2.0,0.21
Utilities,2.5,0.2
Utilities,3.0,7.18
Utilities,3.5,36.71
Utilities,4.0,6.58
Utilities,4.5,38.61
Utilities,5.0,10.38
Weather,0.0,0.0
Weather,1.0,0.0
Weather,1.5,0.0
Weather,2.0,0.0
Weather,2.5,0.03
Weather,3.0,0.13
Weather,3.5,51.9
Weather,4.0,14.44
Weather,4.5,32.29
Weather,5.0,1.2
